job_title,company,job_location,post_date,extract_date,job_description,job_salary
Data Scientist,Disney Media & Entertainment Distribution,"New York, NY 10012 (Little Italy area)+1 location",Today,2022-04-25,"2-3+ years of experience in data science (preferably in the advertising sales space) or data engineering.
A desire to work directly with business stakeholders…",
Basketball Data Scientist (remote opportunity),Madison Square Garden Entertainment,"Remote in Tarrytown, NY 10591",30+ days ago,2022-04-25,"Independently extract, explore, transform, clean, and visualize data.
You will support stakeholders (e.g., Scouting, Strategy) by exploring and analyzing data,…",
Data Science Associate (Remote),pulseData,"Remote in New York, NY",30+ days ago,2022-04-25,"Bachelor/Master Degree students pursuing degrees in data science, statistics, applied math, computer science, engineering or other quantitative fields providing…",
Associate Data Science Analyst/Engineer,NYU Langone Health,"New York, NY 10016 (Gramercy area)+4 locations",3 days ago,2022-04-25,"Familiarity with data driven modeling (including gathering and cleaning data, exploratory analysis, implementing models, error analysis, and presenting the…",
Early Careers | Financial Modeling & Research | New York,Goldman Sachs,"New York, NY 10282 (Battery Park area)+1 location",30+ days ago,2022-04-25,"Some roles will require proficiency in R, Python, or similar for statistical modeling and analyzing time-series data.",
Director - Data Science,Twitch,"New York, NY 10011 (Chelsea area)",Today,2022-04-25,Evidence you've set data science team vision and roadmap and influence long term change in how a company makes decisions using data.,
Data Analyst (Remote),pulseData,"Remote in New York, NY",30+ days ago,2022-04-25,"You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines.
Bonus points for any experience in Spark.",
Data Science Fellow,Murmuration,"New York, NY 10005 (Financial District area)+2 locations",4 days ago,2022-04-25,"Collaborate with data managers, data engineers, and data scientists to develop the framework then build and deliver the final product;",
Data Science Manager- Data Solutions Team,TikTok,"New York, NY 10017 (Midtown area)+1 location",30+ days ago,2022-04-25,"Lead team of 3-4 data scientists in the exploration of the unstructured data field.
At least 3 years (preferably 4-6 years) of experience in data analysis or…",
Data Scientist,Source Enterprises,"New York, NY 10036 (Midtown area)",30+ days ago,2022-04-25,"Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc.
Stay current on modern trends and advances in data mining technology.",
Entry Level - Associate Data Scientist (Commercial),IBM,"New York, NY 10001 (Chelsea area)",6 days ago,2022-04-25,"Work or internship experience using data science tools in a corporate environment.
Write programs to cleanse and integrate data in an efficient and reusable…",
